호선,역사명,대합실(SK),대합실(KT),대합실(LGU플러스),승강장(SK),승강장(KT),승강장(LGU플러스)
01,설화명곡,4,4,4,4,4,4
01,화원,2,2,2,4,4,4
01,대곡,3,3,4,4,4,4
01,진천,2,2,3,4,4,4
01,월배,2,2,4,3,4,3
01,상인,5,4,5,4,3,4
01,월촌,2,3,4,3,3,2
01,송현,5,5,6,3,5,4
01,성당못,2,2,3,4,4,4
01,대명,3,2,5,3,4,3
01,안지랑,2,2,3,3,4,4
01,현충로,3,2,3,3,4,4
01,영대병원,3,2,5,3,4,2
01,교대,5,6,6,2,4,4
01,명덕,2,2,5,3,4,3
01,반월당,6,5,7,4,11,6
01,중앙로,5,6,11,4,4,6
01,대구,4,4,4,4,4,4
01,칠성시장,3,5,7,4,4,4
01,신천,2,2,4,4,4,4
01,동대구,3,4,9,3,4,4
01,동구청,2,2,3,2,4,4
01,아양교,2,4,7,4,4,4
01,동촌,3,5,7,4,4,4
01,해안,2,3,4,4,4,4
01,방촌,2,3,5,4,4,4
01,용계,4,2,3,4,4,4
01,율하,2,3,4,4,4,4
01,신기,2,3,4,4,4,4
01,반야월,2,3,4,3,4,4
01,각산,2,2,3,4,4,4
01,안심,2,2,3,2,4,5
01,대구한의대병원,1,2,1,2,3,2
01,부호,1,2,1,3,3,2
01,하양,1,2,1,3,3,2
02,문양,5,1,5,0,3,0
02,다사,2,3,3,4,4,4
02,대실,3,3,3,4,4,4
02,강창,4,4,3,4,4,4
02,계명대,10,4,4,3,4,4
02,성서산업단지,3,4,4,2,3,4
02,이곡,5,3,5,2,3,4
02,용산,6,6,8,2,4,4
02,죽전,3,3,3,2,3,4
02,감삼,3,3,4,2,2,3
02,두류,4,3,4,2,4,3
02,내당,3,3,4,2,3,4
02,반고개,3,3,3,2,3,4
02,청라언덕,6,4,4,2,4,6
02,반월당,5,0,7,2,0,6
02,경대병원,5,4,5,2,4,4
02,대구은행,2,2,3,2,3,3
02,범어,5,4,4,2,3,4
02,수성구청,5,4,5,2,3,3
02,만촌,4,3,5,2,3,3
02,담티,3,3,5,2,3,3
02,연호,3,3,3,2,3,3
02,수성알파시티,5,6,9,4,4,4
02,고산,2,3,4,4,4,4
02,신매,8,3,5,3,4,4
02,사월,4,5,6,2,3,4
02,정평,1,2,2,4,4,3
02,임당,1,3,2,4,3,3
02,영남대,1,3,2,4,4,4
03,칠곡경대병원,1,1,2,2,2,1
03,학정,1,1,2,2,2,1
03,팔거,1,1,2,2,2,1
03,동천,1,1,2,2,2,1
03,칠곡운암,1,1,2,2,2,1
03,구암,1,1,2,2,2,1
03,태전,1,1,2,2,2,1
03,매천,1,1,2,2,2,1
03,매천시장,1,1,2,2,2,1
03,팔달,1,1,2,2,2,1
03,공단,1,1,2,2,2,1
03,만평,1,1,2,2,2,1
03,팔달시장,1,1,2,2,2,1
03,원대,1,1,2,2,2,1
03,북구청,1,1,2,2,2,1
03,달성공원,1,1,2,2,2,1
03,서문시장,1,1,2,2,2,1
03,청라언덕,1,1,2,2,2,1
03,남산,2,2,2,2,2,1
03,명덕,1,1,2,2,2,1
03,건들바위,1,1,2,2,2,1
03,대 봉 교,1,1,2,2,2,1
03,수성시장,1,1,2,2,2,1
03,수성구민운동장,1,1,2,2,2,1
03,어린이세상,1,1,2,2,2,1
03,황금,1,1,2,2,2,1
03,수성못,1,1,2,2,2,1
03,지산,1,1,2,2,2,1
03,범물,1,1,2,2,2,1
03,용지,1,1,2,2,2,1
